,surface,tourney_level,second_id,second_hand,second_ht,second_age,first_id,first_hand,first_ht,first_age,best_of,round,second_rank,second_rank_points,first_rank,first_rank_points,tourney_year,label
21185,3.0,4.0,105676.0,1.0,180.0,28.2,106065.0,1.0,185.0,26.4,3.0,6.0,20.0,1685.0,16.0,2021.0,2019.0,0.0
143346,2.0,0.0,111575.0,1.0,198.0,25.0,126094.0,1.0,188.0,23.6,3.0,6.0,27.0,2010.0,7.0,5910.0,2021.0,1.0
13393,3.0,0.0,104527.0,1.0,183.0,31.7,104678.0,1.0,193.0,30.8,3.0,5.0,4.0,5315.0,29.0,1385.0,2017.0,0.0
155578,1.0,4.0,132283.0,1.0,191.0,26.9,133430.0,0.0,185.0,23.0,3.0,7.0,28.0,1540.0,16.0,2671.0,2022.0,1.0
154805,1.0,4.0,133430.0,0.0,185.0,23.0,134770.0,1.0,183.0,23.3,3.0,3.0,16.0,2671.0,10.0,3760.0,2022.0,1.0
187744,1.0,3.0,105777.0,1.0,188.0,31.0,106043.0,1.0,170.0,29.7,5.0,6.0,21.0,1740.0,16.0,2505.0,2022.0,1.0
109760,3.0,0.0,106233.0,1.0,185.0,24.4,105223.0,1.0,198.0,29.4,3.0,3.0,6.0,3810.0,9.0,2745.0,2018.0,1.0
90721,3.0,3.0,103819.0,1.0,185.0,38.0,105676.0,1.0,180.0,28.7,5.0,5.0,3.0,6950.0,15.0,2055.0,2019.0,0.0
30831,3.0,4.0,111815.0,0.0,188.0,26.9,208029.0,1.0,185.0,19.2,3.0,7.0,11.0,3065.0,29.0,1380.0,2022.0,0.0
142004,2.0,3.0,104731.0,1.0,203.0,28.0,104926.0,1.0,178.0,27.0,5.0,6.0,18.0,1745.0,15.0,2155.0,2014.0,0.0
41965,3.0,3.0,105777.0,1.0,188.0,26.6,126094.0,1.0,188.0,20.2,5.0,6.0,3.0,4990.0,32.0,1373.0,2018.0,0.0
68543,1.0,4.0,104022.0,1.0,183.0,30.8,103163.0,1.0,188.0,35.1,3.0,7.0,30.0,1265.0,14.0,2420.0,2013.0,0.0
75064,3.0,1.0,206173.0,1.0,188.0,20.2,105227.0,1.0,198.0,33.1,3.0,8.0,10.0,3350.0,30.0,1710.0,2021.0,0.0
72429,1.0,4.0,105683.0,1.0,196.0,23.3,105453.0,1.0,178.0,24.3,3.0,5.0,9.0,2580.0,12.0,2440.0,2014.0,1.0
148408,3.0,3.0,104755.0,1.0,185.0,28.1,104792.0,1.0,193.0,27.9,5.0,6.0,14.0,2360.0,24.0,1530.0,2014.0,1.0
157645,2.0,3.0,105138.0,1.0,183.0,29.2,105453.0,1.0,178.0,27.5,5.0,6.0,19.0,2155.0,9.0,3830.0,2017.0,0.0
103823,3.0,4.0,104471.0,1.0,183.0,28.7,103781.0,0.0,183.0,32.3,3.0,7.0,29.0,1330.0,25.0,1425.0,2013.0,1.0
202794,3.0,4.0,105453.0,1.0,178.0,25.1,103852.0,0.0,188.0,33.4,3.0,5.0,5.0,5415.0,12.0,2325.0,2015.0,1.0
192068,1.0,4.0,104545.0,1.0,206.0,32.0,105077.0,0.0,188.0,29.3,3.0,7.0,24.0,1705.0,19.0,2145.0,2017.0,0.0
206237,1.0,4.0,104926.0,1.0,178.0,29.9,100644.0,1.0,198.0,20.0,3.0,5.0,29.0,1270.0,17.0,2300.0,2017.0,1.0
3667,3.0,0.0,111815.0,0.0,188.0,26.0,133430.0,0.0,185.0,22.4,3.0,3.0,28.0,1930.0,13.0,3265.0,2021.0,0.0
160483,3.0,3.0,104607.0,1.0,196.0,27.3,104731.0,1.0,203.0,26.6,5.0,5.0,6.0,4680.0,31.0,1170.0,2013.0,0.0
163838,1.0,3.0,104022.0,1.0,183.0,30.9,103163.0,1.0,188.0,35.1,5.0,5.0,31.0,1265.0,14.0,2340.0,2013.0,1.0
203728,1.0,4.0,105668.0,1.0,203.0,22.4,105023.0,1.0,198.0,25.5,3.0,7.0,24.0,1389.0,18.0,1870.0,2013.0,0.0
113214,3.0,3.0,106000.0,1.0,172.0,25.6,104745.0,0.0,185.0,31.6,5.0,6.0,30.0,1391.0,1.0,10600.0,2018.0,1.0
182871,3.0,0.0,105223.0,1.0,198.0,25.0,104597.0,1.0,183.0,28.1,3.0,9.0,7.0,4425.0,17.0,1940.0,2013.0,0.0
189066,3.0,0.0,105138.0,1.0,183.0,34.4,200000.0,1.0,193.0,22.1,3.0,6.0,21.0,1760.0,13.0,2950.0,2022.0,0.0
173303,3.0,4.0,104925.0,1.0,188.0,27.2,104542.0,1.0,188.0,29.2,3.0,5.0,1.0,13130.0,15.0,1910.0,2014.0,1.0
27291,2.0,3.0,106043.0,1.0,170.0,26.8,126610.0,1.0,196.0,23.2,5.0,6.0,24.0,1485.0,20.0,1665.0,2019.0,1.0
134412,3.0,3.0,111815.0,0.0,188.0,27.0,126094.0,1.0,188.0,24.8,5.0,5.0,9.0,3415.0,11.0,3120.0,2022.0,1.0
181086,3.0,2.0,103819.0,1.0,185.0,34.2,104925.0,1.0,188.0,28.4,3.0,8.0,3.0,7340.0,1.0,15285.0,2015.0,0.0
111914,1.0,4.0,106043.0,1.0,170.0,25.7,105173.0,0.0,183.0,29.8,3.0,7.0,16.0,2085.0,27.0,1585.0,2018.0,0.0
203320,1.0,3.0,103970.0,1.0,175.0,32.1,104745.0,0.0,185.0,27.9,5.0,3.0,5.0,5030.0,1.0,12500.0,2014.0,1.0
129336,3.0,0.0,104527.0,1.0,183.0,28.7,105577.0,1.0,193.0,23.5,3.0,9.0,8.0,3730.0,32.0,1219.0,2013.0,0.0
130873,1.0,4.0,105668.0,1.0,203.0,23.4,105208.0,1.0,190.0,25.6,3.0,7.0,21.0,1715.0,20.0,1780.0,2014.0,1.0
